,location,continent,date,latitude,longitude,temperature_2m,surface_pressure,dewpoint_temperature_2m,v_wind_10m,u_wind_10m,evaporation,runoff,total_percipitation,snowfall,snow_depth,soil_temperature_level_1,soil_type
0,"Amundsen-Scott, Antarctica",Antarctica,2021-01-01,-90.0,0.0,244.23468,68938.016,240.34161,0.0067281723,0.38034916,3.1897798e-07,0.0,2.2649765e-06,2.2351742e-06,10.0,232.94269,1
1,"McMurdo Station, Antarctica",Antarctica,2021-01-01,-77.75,166.75,268.30695,96918.016,263.42755,-0.17198277,-1.1875219,-1.4641788e-05,0.0,2.9921532e-05,2.9861927e-05,4.0214233,267.34894,0
2,"Melbourne, Australia",Oceania,2021-01-01,-37.75,145.0,290.45734,100400.016,286.12677,2.148818,0.8769312,-3.7082937e-05,1.0728836e-06,8.21352e-05,0.0,0.0,292.2669,4
3,"Buenos Aires, Argentina",South America,2021-01-01,-34.5,301.5,296.24054,101219.016,289.96466,-0.77647495,-0.64015865,-0.00021510711,1.1920929e-07,6.67572e-05,0.0,0.0,298.18097,0
4,"Cape Town, South Africa",Africa,2021-01-01,-34.0,18.5,294.80304,100912.016,288.18146,5.962783,0.17038822,-6.9001224e-05,0.0,2.503395e-06,0.0,0.0,295.90167,1
5,"Sydney, Australia",Oceania,2021-01-01,-33.75,151.25,294.82257,100915.016,290.74005,-0.25840855,-2.0014868,-0.00010541966,2.3841858e-07,0.000113129616,0.0,0.0,295.2708,0
6,"Perth, Australia",Oceania,2021-01-01,-32.0,115.75,298.9046,100880.016,285.69904,4.235244,-1.0805883,-0.00012789061,7.1525574e-07,2.7418137e-06,0.0,0.0,301.83136,1
7,"Sao Paulo, Brazil",South America,2021-01-01,-23.5,313.25,297.5374,92580.016,292.61505,-1.4468851,-0.078146935,-0.00024867943,2.503395e-05,6.2704086e-05,0.0,0.0,297.11456,4
8,"Rio de Janeiro, Brazil",South America,2021-01-01,-23.0,316.75,301.71515,101005.016,294.5877,-1.1822367,-0.76760006,-0.00018627336,3.5762787e-07,2.0623207e-05,0.0,0.0,302.28253,3
9,"Lima, Peru",South America,2021-01-01,-12.0,283.0,292.94366,96543.016,291.117,1.1082907,0.27341557,-1.6564038e-05,3.9339066e-06,6.2704086e-05,0.0,0.0,294.71222,4
10,"Nairobi, Kenya",Africa,2021-01-01,-1.25,36.75,298.54913,82725.016,284.4256,-1.1070414,-3.2851782,-0.00022291532,5.6028366e-06,8.904934e-05,0.0,0.0,299.86847,2
11,"Singapore, Singapore",Asia,2021-01-01,1.25,103.75,299.3382,100861.016,296.15216,-5.575303,-1.5034399,-0.0001738905,0.0,0.00012457371,0.0,0.0,300.80206,0
12,"Bogota, Colombia",South America,2021-01-01,4.75,286.0,283.02765,73378.016,281.22052,0.36854458,-1.2436743,-8.3833e-06,9.536743e-06,2.1457672e-06,0.0,0.0,283.3333,2
13,"Lagos, Nigeria",Africa,2021-01-01,6.5,3.5,302.64874,100864.016,297.367,1.3573141,1.2324,-0.00029225042,1.5735626e-05,6.210804e-05,0.0,0.0,303.2591,1
14,"Bangkok, Thailand",Asia,2021-01-01,13.75,100.5,300.06866,101147.016,293.11115,0.2557516,-0.26955318,-2.0810869e-05,1.1920929e-07,0.0,0.0,0.0,301.99152,4
15,"Mumbai, India",Asia,2021-01-01,19.0,73.0,301.0667,100687.016,292.7049,-2.472764,3.0561304,-0.000121229794,6.198883e-06,0.0,0.0,0.0,301.5833,2
16,"Mexico City, Mexico",North America,2021-01-01,19.5,260.75,279.51788,75356.016,276.60138,0.6082907,0.9057398,-2.9196963e-07,1.66893e-06,3.0994415e-06,0.0,0.0,281.2923,3
17,"Dubai, UAE",Asia,2021-01-01,25.25,55.25,296.86163,101364.016,283.4256,-3.1680765,1.4941187,-8.3529856e-05,0.0,0.0,0.0,0.0,301.69464,7
18,"Miami, FL",North America,2021-01-01,25.75,279.75,291.56866,101871.016,288.0252,-0.7520609,-0.042502403,-0.00010910025,1.9550323e-05,1.2040138e-05,0.0,0.0,293.6673,1
19,"Cairo, Egypt",Africa,2021-01-01,30.0,31.25,294.60968,100631.016,279.90997,-1.0132914,1.4452906,-4.9123075e-05,0.0,4.7683716e-07,0.0,0.0,295.0833,2
20,"Los Angeles, CA",North America,2021-01-01,34.0,241.75,282.11945,100134.016,275.21075,-1.0811625,-0.9194555,-5.8501028e-06,3.5762787e-07,6.747246e-05,0.0,0.0,283.06964,2
21,"Tokyo, Japan",Asia,2021-01-01,35.75,139.75,277.3792,101900.016,272.6717,-2.4498148,0.18796635,-4.0659215e-05,1.4901161e-05,6.4730644e-05,0.0,8.392334e-05,279.91925,3
22,"Seoul, South Korea",Asia,2021-01-01,37.5,127.0,270.32062,101335.016,264.0838,-1.01085,0.8012476,-1.901295e-06,9.655952e-06,4.3153763e-05,7.95722e-06,0.0011100769,272.55597,4
23,"Beijing, China",Asia,2021-01-01,40.0,116.5,269.6546,102385.016,257.3045,-0.15342808,0.24265385,-6.6449866e-07,0.0,1.66893e-06,9.834766e-07,0.0,271.62433,2
24,"New York City, NY",North America,2021-01-01,40.75,286.0,272.1878,101390.016,268.4627,-1.3248148,1.3617945,-2.365699e-05,3.0517578e-05,3.2544136e-05,3.1590462e-06,0.00013637543,273.31573,3
25,"Chicago, IL",North America,2021-01-01,42.0,272.25,270.9339,99472.016,267.75958,-0.1944437,0.62546635,-2.1108892e-05,3.695488e-06,8.368492e-05,8.198619e-05,0.00637722,273.73566,2
26,"Paris, France",Europe,2021-01-01,48.75,2.25,278.5218,100043.016,276.28302,0.6746969,2.1459742,-6.834557e-05,7.6293945e-06,0.00015103817,5.7935715e-05,9.8228455e-05,277.22394,3
27,"Vancouver, Canada",North America,2021-01-01,49.25,237.0,276.92218,98899.016,275.40802,-0.13096714,-1.7412329,-1.6623642e-05,0.00043714046,0.00055885315,3.6656857e-05,0.0008945465,277.56964,2
28,"London, United Kingdom",Europe,2021-01-01,51.5,0.0,277.971,100445.016,276.25763,-0.12999058,1.2040796,-6.086519e-05,2.014637e-05,0.00016534328,2.2828579e-05,0.00023269653,276.93097,3
29,"Moscow, Russia",Europe,2021-01-01,55.75,37.5,267.48468,99305.016,265.68146,0.9408102,-0.5923071,-1.1706259e-05,2.026558e-06,0.00011098385,0.00010791421,0.04229164,272.56573,2
30,"Amundsen-Scott, Antarctica",Antarctica,2021-02-01,-90.0,0.0,232.83614,68531.664,229.0742,0.15842628,0.4374094,2.4656765e-07,0.0,3.2186508e-06,3.2186508e-06,10.0,232.4595,1
31,"McMurdo Station, Antarctica",Antarctica,2021-02-01,-77.75,166.75,262.75214,96597.664,257.65625,-0.08571434,-1.4073172,-2.6605325e-05,0.0,1.5735626e-05,1.5735626e-05,4.0214233,266.34818,0
32,"Melbourne, Australia",Oceania,2021-02-01,-37.75,145.0,290.5451,100343.664,285.29102,2.0319614,-0.09774685,-3.7244754e-05,2.3841858e-07,2.6345253e-05,0.0,0.0,292.07083,4
33,"Buenos Aires, Argentina",South America,2021-02-01,-34.5,301.5,294.40643,101374.664,290.16602,1.1052036,-0.67538357,-0.00019539078,4.7683716e-07,0.000120162964,0.0,0.0,296.53372,0
34,"Cape Town, South Africa",Africa,2021-02-01,-34.0,18.5,295.0334,101031.664,287.79492,6.140848,-0.07089138,-9.509106e-05,0.0,1.4305115e-06,0.0,0.0,295.78958,1
35,"Sydney, Australia",Oceania,2021-02-01,-33.75,151.25,294.4709,100901.664,291.1582,0.8532505,-1.8599539,-0.0001058646,3.5762787e-07,0.000106453896,0.0,0.0,295.18802,0
36,"Perth, Australia",Oceania,2021-02-01,-32.0,115.75,296.3166,100819.664,287.78906,4.402567,-0.1978445,-0.00012684544,9.536743e-07,0.00010454655,0.0,0.0,299.22708,1
37,"Sao Paulo, Brazil",South America,2021-02-01,-23.5,313.25,295.90057,92501.664,291.42773,-0.52516747,-0.6226492,-0.00022109528,1.0371208e-05,0.00013875961,0.0,0.0,295.79544,4
38,"Rio de Janeiro, Brazil",South America,2021-02-01,-23.0,316.75,299.7248,100927.664,295.15625,-0.51247215,-0.21688747,-0.00018116017,8.34465e-07,8.189678e-05,0.0,0.0,300.77396,3
39,"Lima, Peru",South America,2021-02-01,-12.0,283.0,293.18964,96530.664,290.8789,0.33030128,0.1459055,-1.6502338e-05,5.2452087e-06,6.3061714e-05,0.0,0.0,294.56497,4
40,"Nairobi, Kenya",Africa,2021-02-01,-1.25,36.75,299.38885,82752.664,284.6582,-0.38063622,-2.684661,-0.00026144763,2.4557114e-05,0.00031101704,0.0,0.0,300.23294,2
41,"Singapore, Singapore",Asia,2021-02-01,1.25,103.75,300.1447,100884.664,295.70117,-4.5652065,-2.8326101,-0.00017962535,0.0,1.7046928e-05,0.0,0.0,300.75247,0
42,"Bogota, Colombia",South America,2021-02-01,4.75,286.0,283.81073,73388.664,282.35547,0.28733253,-0.9478445,-1.16892625e-05,1.2040138e-05,5.698204e-05,0.0,0.0,284.76614,2
43,"Lagos, Nigeria",Africa,2021-02-01,6.5,3.5,303.33026,100881.664,296.68164,1.7463169,0.93155,-0.00030945917,1.0371208e-05,3.0994415e-05,0.0,0.0,304.0142,1
44,"Bangkok, Thailand",Asia,2021-02-01,13.75,100.5,302.02362,101027.664,295.21875,1.8630161,-0.062102318,-2.7499394e-05,1.1920929e-07,5.364418e-06,0.0,0.0,303.96732,4
45,"Mumbai, India",Asia,2021-02-01,19.0,73.0,302.11737,100751.664,291.84375,-2.069601,3.1664133,-0.00013690372,4.053116e-06,0.0,0.0,0.0,302.12943,2
46,"Mexico City, Mexico",North America,2021-02-01,19.5,260.75,278.6291,75222.664,273.51953,0.9811802,1.1336985,-1.2733508e-06,1.0728836e-06,1.7881393e-06,0.0,0.0,280.76614,3
47,"Dubai, UAE",Asia,2021-02-01,25.25,55.25,298.18573,101168.664,287.74414,-3.5110073,3.063386,-5.3188996e-05,0.0,0.0,0.0,0.0,304.22513,7
48,"Miami, FL",North America,2021-02-01,25.75,279.75,294.4572,101785.664,291.51562,1.7731724,-0.9356375,-0.00010429998,9.894371e-06,4.0650368e-05,0.0,0.0,295.67044,1
49,"Cairo, Egypt",Africa,2021-02-01,30.0,31.25,294.8244,100636.664,279.3379,-1.8689175,1.3954172,-7.270952e-05,4.7683716e-07,0.0001142025,0.0,0.0,295.82474,2
50,"Los Angeles, CA",North America,2021-02-01,34.0,241.75,282.6584,100126.664,275.56836,-0.82204247,-0.7652273,-3.95556e-06,0.0,4.887581e-06,0.0,0.0,283.8013,2
51,"Tokyo, Japan",Asia,2021-02-01,35.75,139.75,280.37323,101633.664,273.26367,-0.7195034,0.55557346,-4.1148858e-05,1.0967255e-05,5.1259995e-06,2.9802322e-08,0.0,281.7642,3
